currency,date,avg_value
GBP,2020-07,0.904666956521739
GBP,2020-08,0.9008090476190477
GBP,2020-09,0.9094740909090911
GBP,2020-10,0.9074113636363638
GBP,2020-11,0.8960533333333333
GBP,2020-12,0.906244090909091
GBP,2021-01,0.892665
GBP,2021-02,0.8726825
GBP,2021-03,0.8587321739130435
GBP,2021-04,0.8652685
GBP,2021-05,0.8625833333333335
GBP,2021-06,0.8587204545454544
GBP,2021-07,0.8561304545454547
GBP,2021-08,0.8528736363636363
GBP,2021-09,0.8568331818181818
GBP,2021-10,0.8469442857142856
GBP,2021-11,0.8478636363636363
GBP,2021-12,0.8487482608695652
GBP,2022-01,0.8350338095238095
GBP,2022-02,0.8378725000000001
GBP,2022-03,0.8363826086956522
GBP,2022-04,0.8365499999999998
GBP,2022-05,0.8496849999999999
GBP,2022-06,0.857590909090909
GBP,2022-07,0.849552857142857
GBP,2022-08,0.844988260869565
GBP,2022-09,0.8746295454545456
GBP,2022-10,0.8705766666666667
GBP,2022-11,0.8689209090909089
GBP,2022-12,0.85715
HKD,1999-01,8.99418
HKD,1999-02,8.684705000000003
HKD,1999-03,8.432243478260869
HKD,1999-04,8.296377272727273
HKD,1999-05,8.239142857142857
HKD,1999-06,8.051040909090908
HKD,1999-07,8.034945454545454
HKD,1999-08,8.227236363636363
HKD,1999-09,8.154899999999998
HKD,1999-10,8.316871428571428
HKD,1999-11,8.036931818181818
HKD,1999-12,7.861513636363637
HKD,2000-01,7.887404761904761
HKD,2000-02,7.652838095238094
HKD,2000-03,7.505613043478262
HKD,2000-04,7.375288888888889
HKD,2000-05,7.058581818181818
HKD,2000-06,7.398995454545456
HKD,2000-07,7.328528571428571
HKD,2000-08,7.052673913043479
HKD,2000-09,6.799704761904761
HKD,2000-10,6.668204545454547
HKD,2000-11,6.678872727272727
HKD,2000-12,6.998173684210527
HKD,2001-01,7.318236363636364
HKD,2001-02,7.18891
HKD,2001-03,7.093895454545455
HKD,2001-04,6.956789473684211
HKD,2001-05,6.818218181818182
HKD,2001-06,6.654195238095239
HKD,2001-07,6.712986363636364
HKD,2001-08,7.02355652173913
HKD,2001-09,7.106260000000001
HKD,2001-10,7.065491304347825
HKD,2001-11,6.9284136363636355
HKD,2001-12,6.959516666666667
HKD,2002-01,6.888636363636363
HKD,2002-02,6.78574
HKD,2002-03,6.830825
HKD,2002-04,6.90912380952381
HKD,2002-05,7.152109090909089
HKD,2002-06,7.452309999999999
HKD,2002-07,7.738908695652173
HKD,2002-08,7.626468181818183
HKD,2002-09,7.64997619047619
HKD,2002-10,7.65205652173913
HKD,2002-11,7.809819047619048
HKD,2002-12,7.940925
HKD,2003-01,8.284118181818181
HKD,2003-02,8.40219
HKD,2003-03,8.42794761904762
HKD,2003-04,8.460495000000003
HKD,2003-05,9.032090476190476
HKD,2003-06,9.095457142857143
HKD,2003-07,8.868878260869563
HKD,2003-08,8.687314285714285
HKD,2003-09,8.737681818181818
HKD,2003-10,9.053021739130436
HKD,2003-11,9.083575
HKD,2003-12,9.538609523809523
HKD,2004-01,9.795119047619048
HKD,2004-02,9.831419999999998
HKD,2004-03,9.554739130434783
HKD,2004-04,9.345049999999999
HKD,2004-05,9.361804761904763
HKD,2004-06,9.464795454545452
HKD,2004-07,9.567236363636363
HKD,2004-08,9.496827272727272
HKD,2004-09,9.52896818181818
HKD,2004-10,9.72837619047619
HKD,2004-11,10.102827272727271
HKD,2004-12,10.4264
HKD,2005-01,10.226880952380952
HKD,2005-02,10.150739999999999
HKD,2005-03,10.296038095238092
HKD,2005-04,10.089938095238097
HKD,2005-05,9.890013636363635
HKD,2005-06,9.459731818181819
HKD,2005-07,9.358990476190476
HKD,2005-08,9.552891304347826
HKD,2005-09,9.513786363636365
HKD,2005-10,9.319133333333331
HKD,2005-11,9.138977272727272
HKD,2005-12,9.192666666666666
HKD,2006-01,9.385059090909092
HKD,2006-02,9.264009999999999
HKD,2006-03,9.327021739130435
HKD,2006-04,9.51815
HKD,2006-05,9.901877272727274
HKD,2006-06,9.821013636363638
HKD,2006-07,9.859952380952379
HKD,2006-08,9.962730434782609
HKD,2006-09,9.90511904761905
HKD,2006-10,9.818854545454544
HKD,2006-11,10.024609090909093
HKD,2006-12,10.270447368421053
HKD,2007-01,10.13895
HKD,2007-02,10.212990000000001
HKD,2007-03,10.346418181818182
HKD,2007-04,10.563394736842104
HKD,2007-05,10.564186363636365
HKD,2007-06,10.485366666666668
